,title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short,opening_weekend
278,We-Are-Your-Friends,4683,195.278416667,141.721638808,119.635323257,150.743898051,153.298004659,0.345299082569,545,We Are Your Friends,http://www.movie-list.com/trailers/weareyourfriends,"Drama, Music",28-Aug-15,http://imdb.com/title/tt3787590/,0.0849763610777,0.0339110447217,0.0,0.16348029465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1767308.0
279,The-Penguins-of-Madagascar,4088,136.369566667,189.307611943,182.637412099,191.172448762,197.360193366,0.354587037037,378,The Penguins of Madagascar,http://www.movie-list.com/trailers/penguinsofmadagascar,"Animation, Adventure, Comedy",26-Nov-14,http://imdb.com/title/tt1911658/,0.0485199604605,0.0242173508781,0.0,0.117911287829,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25447444.0
280,Earth-to-Echo,1899,79.1624166667,95.6669847275,79.0723557073,107.493228981,78.3660718832,0.293206018519,234,Earth to Echo,http://www.movie-list.com/trailers/earthtoecho,,25-Apr-14,http://imdb.com/title/tt2183034/,0.110330646144,0.128135369662,0.0,0.486720264301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364658.0
281,Paranormal-Activity-The-Ghost-Dimension,3873,161.494666667,72.7981629255,69.5160511357,72.2202622913,84.4431690876,0.920256944444,156,Paranormal Activity: The Ghost Dimension,http://www.movie-list.com/trailers/paranormalactivityghostdimension,Horror,23-Oct-15,http://imdb.com/title/tt2473510/,0.0692581994014,0.0478714925415,0.0,0.23929577802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8070493.0
282,Beyond-the-Reach,3530,147.188708333,141.987945045,126.086120739,148.480954057,150.372662498,0.370740740741,396,Beyond the Reach,http://www.movie-list.com/trailers/beyondthereach,Thriller,17-Apr-15,http://imdb.com/title/tt2911668/,0.0809996641224,0.0343469403953,0.0,0.201239884062,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30287.0
283,Only-God-Forgives,2268,94.5527916667,68.0107870689,64.7056726177,63.6058971697,99.4175428497,0.719229961832,131,Only God Forgives,http://www.movie-list.com/trailers/onlygodforgives,"Crime, Drama, Thriller",19-Jul-13,http://imdb.com/title/tt1602613/,0.132296430021,0.0940596271477,0.0,0.35657410876,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313958.0
284,For-No-Good-Reason,2232,92.9583333333,287.806027426,277.373717746,289.804973761,305.118452581,0.469127806563,193,For No Good Reason,http://www.movie-list.com/trailers/fornogoodreason,Documentary,25-Apr-14,http://imdb.com/title/tt2112152/,0.0456878074751,0.0228585034762,0.0,0.114489068209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4516.0
285,Closed-Curtain,2196,87.8,113.31160026,103.822180404,112.764779735,141.107235379,1.95219512195,41,Closed Curtain,http://www.movie-list.com/trailers/closedcurtain,Drama,20-Oct-13,http://imdb.com/title/tt2626926/,0.0343212350047,0.0352867201233,0.0,0.190236591804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5002.0
286,Child-of-God,2527,105.35525,107.378973083,102.102997482,108.47543063,115.660608386,0.339855645161,310,Child of God,http://www.movie-list.com/trailers/childofgod,"Crime, Drama, Thriller",1-Aug-14,http://imdb.com/title/tt1951095/,0.164017984237,0.0707357497334,0.0013623129424,0.288251113228,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27630.0
287,Paranoia,3594,149.858041667,101.693995,88.7064674668,106.956145345,108.740127688,0.339733333333,440,Paranoia,http://www.movie-list.com/trailers/paranoia,,,,0.104648099771,0.0651185668928,0.0,0.303350334505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
288,Captain-America-Civil-War,3516,146.604791667,112.585772958,105.121764899,116.921925099,109.927257861,0.306016276042,448,Captain America: Civil War,http://www.movie-list.com/trailers/captainamerica3,,6-May-16,http://imdb.com/title/tt3498820/,0.100487738966,0.0515587958266,0.0,0.242055110482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179139142.0
289,Automata,3459,144.227416667,124.726518786,125.290870404,126.437025806,114.548626962,0.444631430041,324,Automata,http://www.movie-list.com/trailers/automata,,10-Oct-14,http://imdb.com/title/tt1971325/,0.120075630854,0.0829330424825,0.0,0.429192254483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,Don-Verdean,3518,146.688208333,162.236245713,142.839434752,168.998157012,178.417723684,0.707421925566,206,Don Verdean,http://www.movie-list.com/trailers/donverdean,Comedy,11-Dec-15,http://imdb.com/title/tt3534282/,0.113019817107,0.0399779326813,0.0187528069169,0.284829505489,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,This-is-the-End,4512,188.146291667,76.9211097305,61.8280863735,79.1164103045,105.257560217,0.808166666667,231,This is the End,http://www.movie-list.com/trailers/thisistheend,"Action, Comedy",14-Jun-13,http://imdb.com/title/tt1245492/,0.0667295662418,0.0417504264032,0.0,0.224015847242,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20719162.0
292,Oldboy-2013,3611,150.567083333,105.30789761,96.0362907808,108.515722318,113.192292066,0.565748263889,264,Oldboy (2013),http://www.movie-list.com/trailers/oldboy2013,"Action, Drama, Mystery",27-Nov-13,http://imdb.com/title/tt1321511/,0.132410212217,0.0816207297365,0.0,0.375603530775,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,The-Lady-in-the-Van,2489,103.666666667,201.351201237,179.164818441,206.121809718,235.134514913,0.860069444444,120,The Lady in the Van,http://www.movie-list.com/trailers/ladyinthevan,"Biography, Drama",15-Jan-16,http://imdb.com/title/tt3722070/,0.0495021105599,0.0278497089729,0.0,0.152902564736,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175280.0
294,Hunky-Dory,2793,116.449666667,140.735612844,105.645530499,152.437798862,172.606805662,0.396014175258,291,Hunky Dory,http://www.movie-list.com/trailers/hunkydory,Drama ,22-Mar-13,http://www.imdb.com/title/tt1727300/,0.0463919021272,0.0290206756687,0.00265583389671,0.167408788659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695.0
295,Cloned-The-Recreator-Chronicles,2723,113.530083333,80.2787020951,78.6744867585,79.9243496722,86.3798661881,0.371956284153,305,Cloned: The Recreator Chronicles,http://www.movie-list.com/trailers/cloned,,23-Apr-13,http://www.imdb.com/title/tt1540005/,0.0860000899204,0.04278611312,0.0,0.22279118604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
296,If-I-Were-You,3016,125.750625,92.7617973999,82.2634929249,96.4189118631,101.538053517,1.47369444444,84,If I Were You,http://www.movie-list.com/trailers/ifiwereyou,"Comedy, Drama",15-Mar-13,http://www.imdb.com/title/tt1587309/,0.0428036614076,0.0265259969151,0.0,0.156056014429,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929.0
297,Jack-Ryan-Shadow-Recruit,3314,138.179708333,122.258246133,133.67968948,118.550049363,111.513227822,0.319375,429,Jack Ryan: Shadow Recruit,http://www.movie-list.com/trailers/jackryanshadowrecruit,"Action, Drama, Thriller",17-Jan-14,http://imdb.com/title/tt1205537/,0.102599190754,0.0436790559955,0.0,0.199679181561,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18034726.0
298,Mr-Turner,2920,121.625,114.905977641,90.1229267813,123.252467979,137.009088794,0.685584291188,174,Mr. Turner,http://www.movie-list.com/trailers/mrturner,"Biography, Drama",19-Dec-14,http://imdb.com/title/tt2473794/,0.104961896889,0.0446581805549,0.0,0.198905188992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000.0
299,Zero-Charisma,2726,113.655208333,83.2081326976,72.0178914429,85.642286831,100.087391013,0.76944683908,145,Zero Charisma,http://www.movie-list.com/trailers/zerocharisma,Comedy,11-Oct-13,http://imdb.com/title/tt2294965/,0.0556412370021,0.0309718138832,0.0,0.183685908158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300,Frontera,3615,150.733916667,98.5698634931,77.8461515355,106.979862445,109.688329333,0.311902027027,481,Frontera,http://www.movie-list.com/trailers/frontera,"Drama, Western",5-Sep-14,http://imdb.com/title/tt2510028/,0.0617356121887,0.0266888829533,0.0,0.124673668476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10962.0
301,The-Peanuts-Movie,1437,59.8931666667,248.759436735,285.332756302,249.984300871,146.777993556,0.450244877049,122,The Peanuts Movie,http://www.movie-list.com/trailers/peanuts,"Animation, Family, Comedy",6-Nov-15,http://imdb.com/title/tt2452042/,0.107592278266,0.0533288946728,0.0,0.261743541922,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,44213073.0
302,The-Last-Days-on-Mars,1665,66.56,85.3570658545,76.1619404367,83.8101496516,117.506175549,0.320198019802,202,The Last Days on Mars,http://www.movie-list.com/trailers/lastdaysonmars,,6-Dec-13,http://imdb.com/title/tt1709143/,0.0789690662883,0.0424731167648,0.0,0.174644792131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608.0
303,Joy,2849,118.785333333,100.079363512,93.0473222361,102.730940352,104.951376392,0.68739556962,158,Joy,http://www.movie-list.com/trailers/joy,"Biography, Comedy, Drama",25-Dec-15,http://imdb.com/title/tt2446980/,0.0951872213443,0.071819755929,0.0,0.356006292321,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17015168.0
304,Vampire-Academy,2350,78.3,43.4449307265,29.3428159272,48.2906190162,55.5067516089,0.469553805774,127,Vampire Academy,http://www.movie-list.com/trailers/vampireacademy,"Action, Fantasy, Mystery",7-Feb-14,http://imdb.com/title/tt1686821/,0.121560832213,0.0671554494839,0.0,0.258705012865,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3921742.0
305,Joe,3580,149.274125,74.8355526805,67.3282263567,77.5773751168,80.4669002535,0.500641865079,294,Joe,http://www.movie-list.com/trailers/joe,Drama,11-Apr-14,http://imdb.com/title/tt2382396/,0.103218490562,0.0620870077757,0.0,0.283246423796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105881.0
306,Frankentsteins-Army,2637,109.943166667,90.3870014295,82.6723644944,95.763364495,83.0099712593,0.311836866472,342,Frankentstein's Army,http://www.movie-list.com/trailers/frankensteinsarmy,"Action, Horror ",26-Jul-13,http://imdb.com/title/tt1925435/,0.0756951476598,0.0521212822621,0.0,0.301943295978,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
307,Batman-Returns,4431,147.666666667,89.0417542744,93.5201511474,87.1288424524,87.2276366393,0.54634448575,269,Batman Returns,http://www.movie-list.com/trailers/batmanreturns,"Action, Fantasy",19-Jun-92,http://imdb.com/title/tt0103776/,0.0168164124827,0.00814439888422,0.0,0.0394536194003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
308,Winters-Tale,3698,154.195708333,77.1883890831,70.4867532181,78.3586706802,88.8013934819,0.655416666667,231,Winter's Tale,http://www.movie-list.com/trailers/winterstale,"Drama, Fantasy, Mystery",14-Feb-14,http://imdb.com/title/tt1837709/,0.066745686498,0.0365547847641,0.0,0.153845319179,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8007059.0
309,Insidious-Chapter-3,3111,129.712916667,71.4845032993,66.5832896649,75.0403374157,66.088420662,1.50963821138,82,Insidious: Chapter 3,http://www.movie-list.com/trailers/insidious3,"Horror, Thriller",29-May-15,http://imdb.com/title/tt3195644/,0.0516230480536,0.0512999338878,0.0,0.221938247385,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22692741.0
310,Insidious-Chapter-2,3457,144.144,56.5762600784,48.9591620992,61.6123036376,50.6661779973,0.849651197605,167,Insidious Chapter 2,http://www.movie-list.com/trailers/insidious2,"Horror, Thriller",13-Sep-13,http://imdb.com/title/tt2226417/,0.0640041607097,0.0532023667835,0.0,0.198257908961,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40272103.0
311,Guardians-of-the-Galaxy,3614,150.692208333,98.0795916295,102.469801917,99.5753860871,78.9527737136,0.749915833333,200,Guardians of the Galaxy,http://www.movie-list.com/trailers/guardiansofthegalaxy,,1-Aug-14,http://imdb.com/title/tt2015381/,0.0862047337938,0.0473975269447,0.0,0.319183821817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94320883.0
312,Exodus-Gods-and-Kings,2345,97.7643333333,63.2369935727,43.0853450973,73.2519566564,64.5603979454,0.447682437695,214,Exodus: Gods and Kings,http://www.movie-list.com/trailers/exodusgodsandkings,"Action, Adventure, Drama",12-Dec-14,http://imdb.com/title/tt1528100/,0.145041242975,0.103244819873,0.0,0.407479341525,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24115934.0
313,The-Grand-Budapest-Hotel,3491,145.562083333,86.2760124018,77.8156254824,82.2683228271,129.170319698,1.1864469697,121,The Grand Budapest Hotel,http://www.movie-list.com/trailers/grandbudapesthotel,"Comedy, Drama",7-Mar-14,http://imdb.com/title/tt2278388/,0.139087729452,0.0686070401141,0.0,0.388840527078,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811166.0
314,Krampus,3673,153.153,57.5921631741,59.3600024874,57.2763796601,54.6335400894,0.580269169835,263,Krampus,http://www.movie-list.com/trailers/krampus,"Comedy, Fantasy, Horror",4-Dec-15,http://imdb.com/title/tt3850590/,0.0927119807855,0.0855185088695,0.0,0.450315493106,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16293325.0
315,A-LEGO-Brickumentary,3270,136.344541667,197.021332629,180.41285026,202.162522923,214.267813421,0.344227088662,391,A LEGO Brickumentary,http://www.movie-list.com/trailers/lego,Documentary,31-Jul-15,http://imdb.com/title/tt3214286/,0.187031636021,0.0809223516688,0.0,0.581322776188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43285.0
316,About-Alex,3329,138.805333333,115.225506251,95.5897513898,122.618729387,128.741538685,0.998260036496,137,About Alex,http://www.movie-list.com/trailers/aboutalex,"Comedy, Drama",8-Aug-14,http://imdb.com/title/tt2667918/,0.0885206910059,0.0520650914798,0.0,0.31837972187,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
317,Love-Is-All-You-Need,2629,109.6095,156.780471703,147.968366293,159.820039703,164.371611511,1.17710185185,90,Love Is All You Need,http://www.movie-list.com/trailers/loveisallyouneed,"Comedy, Romance ",3-May-13,http://imdb.com/title/tt1854236/,0.0874967758278,0.0466432478795,0.0,0.339355186807,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36746.0
318,The-Happy-Poet,3037,126.6265,118.819507533,111.72508972,120.48559364,128.945918847,1.17396691176,102,The Happy Poet,http://www.movie-list.com/trailers/happypoet,"Comedy, Drama, Romance",22-Mar-13,http://www.imdb.com/title/tt1605765/,0.0208045698897,0.0116669221198,0.0,0.0748741776841,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
319,The-Driftless-Area,3506,146.187708333,97.5214253807,84.4999560079,106.201192338,87.0551633992,0.50441015625,288,The Driftless Area,http://www.movie-list.com/trailers/driftlessarea,"Comedy, Drama, Mystery",26-Apr-16,http://imdb.com/title/tt3687304/,0.0754898388906,0.053217378297,0.0,0.310579647001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
320,Pain-Gain,3602,150.191708333,181.216074043,164.316273647,189.331565244,183.897465368,0.519524853801,285,Pain & Gain,http://www.movie-list.com/trailers/painandgain,"Action, Comedy, Drama ",26-Apr-13,http://www.imdb.com/title/tt1980209/,0.149658407034,0.0941968927875,0.0,0.437643664734,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20244505.0
321,Reclaim,3617,150.817333333,118.501398293,110.679811138,120.646422925,128.068004272,0.247492424242,605,Reclaim,http://www.movie-list.com/trailers/reclaim,Thriller,19-Sep-14,http://imdb.com/title/tt3202890/,0.067583428076,0.0290375139877,0.0,0.157774319811,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
322,At-the-Devils-Door,3634,151.526375,58.4820780655,51.7333095718,60.9190454275,63.6799313036,0.411741939146,367,At the Devil's Door,http://www.movie-list.com/trailers/atthedevilsdoor,"Horror, Thriller",12-Sep-14,http://imdb.com/title/tt2597242/,0.101972191614,0.0724995609582,0.0,0.499121855169,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
323,Night-Moves,3462,144.352541667,84.9822168716,77.4201028767,89.1442177674,83.4534411604,1.29755007645,109,Night Moves,http://www.movie-list.com/trailers/nightmoves,"Drama, Thriller",30-May-14,http://imdb.com/title/tt2043933/,0.117081825894,0.110577087124,0.0,0.706246206991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24100.0
324,Ill-Follow-You-Down,2980,124.249125,147.464308357,137.202600387,152.638839497,147.854844883,0.452472222222,264,I'll Follow You Down,http://www.movie-list.com/trailers/illfollowyoudown,,6-Jun-14,http://imdb.com/title/tt2048770/,0.109473126968,0.0570166704008,0.0,0.281666358428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
325,True-Story,3600,150.108291667,155.245701462,156.586156721,156.710151744,144.326667928,0.342351926011,437,True Story,http://www.movie-list.com/trailers/truestory,"Drama, Biography",17-Apr-15,http://imdb.com/title/tt2273657/,0.126884937987,0.0676096832946,0.0,0.371437456824,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950214.0
326,American-Sniper,2752,110.04,202.141405484,196.172786121,205.450968823,200.926675555,0.593945945946,185,American Sniper,http://www.movie-list.com/trailers/americansniper,"Drama, Action, Biography",25-Dec-14,http://imdb.com/title/tt2179136/,0.0463491116146,0.0424074930694,0.0,0.152655494811,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676909.0
327,Whiplash,3049,127.127,119.012264859,95.7386129102,128.024531802,133.733274493,0.438875576701,289,Whiplash,http://www.movie-list.com/trailers/whiplash,"Comedy, Drama",10-Oct-14,http://imdb.com/title/tt2582802/,0.101698586204,0.0773161190612,0.0,0.468190290961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135388.0
328,5-to-7,3518,146.688208333,92.0207358978,82.7534830222,96.2004670526,94.8775935314,1.85522890295,79,5 to 7,http://www.movie-list.com/trailers/5to7,"Comedy, Romance",3-Apr-15,http://imdb.com/title/tt2486678/,0.0734682404565,0.0342128914891,0.0,0.185054496669,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18006.0
329,Felony,3225,128.96,91.6128538108,97.3613494948,91.8645042528,75.3252846525,0.348586956522,368,Felony,http://www.movie-list.com/trailers/felony,"Crime, Thriller",17-Oct-14,http://imdb.com/title/tt2402603/,0.0958446531785,0.0463775789348,0.0,0.254234960158,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
